2022-04-10 00:09:14.690 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-04-10 00:09:14.716 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@12a94400, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6a47b187, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2049a9c1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1ef6d34c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@46271dd6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@11bb571c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7c51f34b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5495333e, org.springframework.test.context.event.EventPublishingTestExecutionListener@2a225dd7, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@61eaec38, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@125290e5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6fa34d52, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@57576994, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@616ac46a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@67b9b51a]
2022-04-10 00:09:15.533 [main] INFO  com.example.ShareBikeWebSpringApplicationTests - Starting ShareBikeWebSpringApplicationTests using Java 1.8.0_144 on DESKTOP-MI840OR with PID 20648 (started by 13241 in D:\fordeps\pros_one\share_bike_web_spring)
2022-04-10 00:09:15.536 [main] INFO  com.example.ShareBikeWebSpringApplicationTests - No active profile set, falling back to default profiles: default
2022-04-10 00:09:16.823 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-04-10 00:09:17.357 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-04-10 00:09:19.171 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2022-04-10 00:09:19.289 [main] INFO  com.example.ShareBikeWebSpringApplicationTests - Started ShareBikeWebSpringApplicationTests in 4.528 seconds (JVM running for 6.453)
2022-04-10 00:09:29.876 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-04-10 00:12:47.347 [restartedMain] INFO  com.example.ShareBikeWebSpringApplication - Starting ShareBikeWebSpringApplication using Java 1.8.0_144 on DESKTOP-MI840OR with PID 25020 (D:\fordeps\pros_one\share_bike_web_spring\target\classes started by 13241 in D:\fordeps\pros_one\share_bike_web_spring)
2022-04-10 00:12:47.349 [restartedMain] INFO  com.example.ShareBikeWebSpringApplication - No active profile set, falling back to default profiles: default
2022-04-10 00:12:47.390 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in F:\Java-dependencies\localMavenRespotitory\org\geotools\gt-geojson\23.0\gt-geojson-23.0.jar referenced one or more files that do not exist: file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/gt-main-23.0.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/gt-referencing-23.0.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/ejml-ddense-0.34.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/ejml-core-0.34.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/commons-pool-1.5.4.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/gt-metadata-23.0.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/gt-opengis-23.0.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/systems-common-java8-0.7.2.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/uom-se-1.0.8.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/unit-api-1.0.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/uom-lib-common-1.0.2.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/si-quantity-0.7.1.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/si-units-java8-0.7.1.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/net.opengis.ows-23.0.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/org.w3.xlink-23.0.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/org.eclipse.emf.common-2.15.0.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/org.eclipse.emf.ecore-2.15.0.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/org.eclipse.emf.ecore.xmi-2.15.0.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/jgridshift-core-1.2.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/javaee-api-7.0.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/javax.mail-1.5.0.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/activation-1.1.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/GeographicLib-Java-1.49.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/jts-core-1.16.1.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/commons-text-1.6.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/jackson-core-2.10.1.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/json-simple-1.1.1.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/commons-lang3-3.8.1.jar,file:/F:/Java-dependencies/localMavenRespotitory/org/geotools/gt-geojson/23.0/jai_core-1.1.3.jar
